MS_Zoning;Lot_Frontage;Lot_Area;Street;Lot_Shape;Utilities;Lot_Config;Neighborhood;House_Style;Overall_Qual;Overall_Cond;Year_Built;Year_Remod_Add;Exterior_1st;Exterior_2nd;Heating;Heating_QC;Central_Air;Electrical;First_Flr_SF;Second_Flr_SF;Low_Qual_Fin_SF;Gr_Liv_Area;Bsmt_Full_Bath;Bsmt_Half_Bath;Full_Bath;Half_Bath;Bedroom_AbvGr;Kitchen_AbvGr;Kitchen_Qual;TotRms_AbvGrd;Fireplaces;Fireplace_Qu;Garage_Type;Garage_Cars;Garage_Area;Garage_Qual;Garage_Cond;Paved_Drive;Mo_Sold;Year_Sold;Sale_Price
Residential_Low_Density;60;8172;Pave;Regular;AllPub;Inside;Edwards;One_and_Half_Fin;Below_Average;Above_Average;1954;1972;MetalSd;MetalSd;GasA;Excellent;Y;SBrkr;997;473;0;1470;0;0;2;0;4;1;Typical;7;0;No_Fireplace;Detchd;1;548;Typical;Typical;Paved;5;2008;135000
Residential_Medium_Density;60;10560;Pave;Regular;AllPub;Inside;Old_Town;Two_Story;Above_Average;Good;1922;1994;Wd Sdng;Wd Sdng;GasA;Excellent;Y;SBrkr;868;602;0;1470;0;0;1;1;2;1;Typical;6;0;No_Fireplace;Detchd;2;624;Typical;Typical;Paved;6;2010;140750
Floating_Village_Residential;0;3830;Pave;Slightly_Irregular;AllPub;Inside;Somerset;One_Story;Above_Average;Average;2008;2008;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1726;0;0;1726;0;0;2;1;2;1;Good;6;1;Good;Attchd;2;561;Typical;Typical;Paved;1;2009;222000
Residential_Low_Density;90;15750;Pave;Regular;AllPub;Corner;Crawford;One_Story;Average;Average;1953;1953;MetalSd;MetalSd;GasA;Typical;Y;SBrkr;1336;0;0;1336;1;0;1;0;2;1;Typical;5;2;Good;Attchd;1;375;Typical;Typical;Paved;6;2006;157000
Residential_Medium_Density;81;7308;Pave;Regular;AllPub;Corner;Old_Town;One_and_Half_Fin;Average;Average;1920;1950;WdShing;Wd Shng;GasA;Good;N;FuseA;960;780;0;1740;0;0;1;0;2;1;Excellent;6;1;Good;Detchd;1;225;Fair;Fair;Dirt_Gravel;6;2008;122250
Residential_Low_Density;96;11308;Pave;Slightly_Irregular;AllPub;Inside;Northridge_Heights;Two_Story;Excellent;Average;2008;2008;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1130;1054;0;2184;1;0;2;1;3;1;Excellent;10;1;Good;Attchd;3;836;Typical;Typical;Paved;7;2009;335000
Residential_Low_Density;66;21780;Pave;Regular;AllPub;Inside;Crawford;Two_Story;Above_Average;Average;1920;1950;Wd Sdng;Wd Shng;GasA;Good;Y;FuseF;940;610;0;1550;0;0;1;1;3;1;Typical;7;1;Typical;Detchd;1;318;Typical;Typical;Partial_Pavement;9;2006;195000
Residential_Medium_Density;50;5000;Pave;Regular;AllPub;Inside;Brookside;One_and_Half_Unf;Above_Average;Good;1926;1950;MetalSd;MetalSd;GasA;Excellent;Y;SBrkr;1013;0;0;1013;0;0;1;0;3;1;Typical;6;0;No_Fireplace;Detchd;1;160;Fair;Typical;Paved;4;2008;113000
Residential_Low_Density;40;3876;Pave;Slightly_Irregular;AllPub;Inside;Greens;One_Story;Very_Good;Average;1978;1978;Wd Sdng;Plywood;GasA;Typical;Y;SBrkr;1226;0;0;1226;1;0;1;0;1;1;Good;4;1;Typical;Attchd;2;484;Typical;Typical;Paved;7;2006;170000
Residential_Low_Density;70;11767;Pave;Regular;AllPub;Inside;Edwards;One_Story;Average;Average;1950;1950;MetalSd;MetalSd;GasA;Typical;Y;FuseA;1368;0;0;1368;1;0;1;0;3;1;Typical;6;0;No_Fireplace;Attchd;1;195;Typical;Typical;Paved;6;2009;120000
Residential_Low_Density;52;46589;Pave;Moderately_Irregular;AllPub;CulDSac;Northridge;Two_Story;Very_Good;Good;1994;2005;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1686;762;0;2448;1;0;2;1;4;1;Good;8;1;Typical;Attchd;3;711;Typical;Typical;Paved;7;2009;402000
Residential_Medium_Density;60;7200;Pave;Regular;AllPub;Inside;Old_Town;One_Story;Average;Below_Average;1910;2006;MetalSd;Stucco;GasW;Typical;N;SBrkr;1022;0;0;1022;1;0;1;0;2;1;Typical;4;0;No_Fireplace;Detchd;1;280;Typical;Typical;Paved;6;2009;85000
Residential_Low_Density;80;9938;Pave;Regular;AllPub;Inside;Sawyer_West;One_Story;Good;Average;1994;1994;HdBoard;HdBoard;GasA;Excellent;Y;SBrkr;1626;0;0;1626;1;0;2;1;3;1;Good;7;1;Typical;Attchd;2;534;Typical;Typical;Paved;4;2008;226500
Residential_Low_Density;0;7750;Pave;Slightly_Irregular;AllPub;Inside;Gilbert;SLvl;Good;Average;2000;2000;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;774;656;0;1430;0;0;2;1;3;1;Typical;7;1;Typical;BuiltIn;2;400;Typical;Typical;Paved;4;2010;180000
Residential_Low_Density;72;9720;Pave;Regular;AllPub;Inside;College_Creek;SLvl;Average;Good;1977;1977;Plywood;VinylSd;GasA;Typical;Y;SBrkr;1009;0;0;1009;0;0;2;0;3;1;Typical;6;1;Fair;Detchd;2;576;Typical;Typical;Paved;6;2007;160000
Residential_Low_Density;66;9042;Pave;Regular;AllPub;Inside;Crawford;Two_Story;Good;Excellent;1941;2006;CemntBd;CmentBd;GasA;Excellent;Y;SBrkr;1188;1152;0;2340;0;0;2;0;4;1;Good;9;2;Good;Attchd;1;252;Typical;Typical;Paved;5;2010;266500
Residential_Low_Density;75;12192;Pave;Slightly_Irregular;AllPub;Inside;College_Creek;Two_Story;Good;Average;2000;2001;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;928;895;0;1823;1;0;2;1;3;1;Good;6;0;No_Fireplace;Attchd;2;626;Typical;Typical;Paved;5;2008;235000
Residential_Low_Density;63;15564;Pave;Regular;AllPub;Inside;Crawford;One_and_Half_Fin;Above_Average;Above_Average;1914;1995;Wd Sdng;Wd Shng;GasA;Excellent;Y;SBrkr;676;588;0;1264;0;0;1;0;3;1;Typical;6;0;No_Fireplace;Detchd;2;400;Typical;Typical;Paved;1;2008;147500
Residential_Low_Density;80;11584;Pave;Regular;AllPub;Inside;Northwest_Ames;SLvl;Good;Above_Average;1979;1979;HdBoard;HdBoard;GasA;Typical;Y;SBrkr;1040;685;0;1725;0;0;2;1;3;1;Typical;6;1;Typical;Attchd;2;550;Typical;Typical;Paved;11;2007;197000
Residential_Low_Density;79;9492;Pave;Regular;AllPub;Inside;North_Ames;One_and_Half_Fin;Average;Average;1941;1950;WdShing;Wd Shng;GasA;Typical;Y;SBrkr;968;408;0;1376;1;0;1;0;3;1;Typical;6;1;Good;Attchd;1;240;Typical;Typical;Paved;4;2007;105000
Residential_Medium_Density;21;1476;Pave;Regular;AllPub;Inside;Meadow_Village;Two_Story;Below_Average;Good;1970;1970;CemntBd;CmentBd;GasA;Excellent;Y;SBrkr;546;546;0;1092;0;0;1;1;3;1;Typical;5;0;No_Fireplace;No_Garage;0;0;No_Garage;No_Garage;Paved;3;2010;76000
Residential_Low_Density;64;7314;Pave;Regular;AllPub;Inside;College_Creek;One_Story;Good;Average;2007;2007;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1232;0;0;1232;1;0;2;0;2;1;Good;6;0;No_Fireplace;Attchd;2;632;Typical;Typical;Paved;2;2009;194500
Residential_Low_Density;68;50271;Pave;Slightly_Irregular;AllPub;Inside;Veenker;One_Story;Excellent;Average;1981;1987;WdShing;Wd Shng;GasA;Good;Y;SBrkr;1842;0;0;1842;2;0;0;1;0;1;Good;5;1;Good;Attchd;3;894;Typical;Typical;Paved;11;2006;385000
Residential_Medium_Density;59;5870;Pave;Regular;AllPub;Corner;Brookside;Two_Story;Above_Average;Excellent;1900;2000;HdBoard;HdBoard;GasA;Excellent;Y;SBrkr;736;554;0;1290;0;0;1;1;3;1;Typical;6;0;No_Fireplace;Detchd;1;200;Fair;Typical;Paved;4;2008;106900
Residential_Low_Density;0;9636;Pave;Slightly_Irregular;AllPub;Corner;Gilbert;Two_Story;Above_Average;Average;1992;1993;VinylSd;VinylSd;GasA;Good;Y;SBrkr;808;785;0;1593;0;0;2;1;3;1;Typical;7;1;Typical;BuiltIn;2;389;Typical;Typical;Paved;12;2009;178000
Residential_Low_Density;70;11207;Pave;Slightly_Irregular;AllPub;FR2;Gilbert;Two_Story;Above_Average;Average;1997;1997;VinylSd;VinylSd;GasA;Good;Y;SBrkr;802;709;0;1511;1;0;2;1;3;1;Typical;8;1;Typical;Attchd;2;413;Typical;Typical;Paved;6;2006;185000
Residential_Low_Density;70;7703;Pave;Regular;AllPub;Inside;Sawyer_West;Two_Story;Above_Average;Above_Average;1992;1992;HdBoard;HdBoard;GasA;Excellent;Y;SBrkr;833;897;0;1730;0;0;2;1;3;1;Good;6;0;No_Fireplace;Attchd;2;528;Typical;Typical;Paved;11;2009;171500
Floating_Village_Residential;81;11216;Pave;Regular;AllPub;Inside;Somerset;One_Story;Very_Good;Average;2006;2006;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1489;0;0;1489;0;0;2;0;3;1;Good;7;1;Good;Attchd;2;776;Typical;Typical;Paved;6;2006;232600
Residential_Low_Density;0;15870;Pave;Slightly_Irregular;AllPub;Corner;North_Ames;One_Story;Average;Average;1969;1969;VinylSd;Plywood;GasA;Excellent;Y;SBrkr;1096;0;0;1096;1;0;1;0;3;1;Typical;6;0;No_Fireplace;Attchd;1;299;Typical;Typical;Paved;3;2006;138800
Residential_Low_Density;0;9248;Pave;Slightly_Irregular;AllPub;Inside;Gilbert;One_Story;Above_Average;Above_Average;1992;1992;HdBoard;HdBoard;GasA;Good;Y;SBrkr;1167;0;0;1167;1;0;2;0;3;1;Good;6;0;No_Fireplace;Attchd;2;400;Typical;Typical;Paved;7;2009;173000
Residential_Low_Density;60;9060;Pave;Regular;AllPub;Inside;Edwards;One_Story;Average;Above_Average;1957;2006;Wd Sdng;Wd Sdng;GasA;Excellent;Y;SBrkr;1340;0;0;1340;0;0;1;0;3;1;Typical;7;1;Good;Attchd;1;252;Typical;Typical;Paved;6;2007;120000
Residential_Low_Density;74;7785;Pave;Slightly_Irregular;AllPub;Inside;North_Ames;One_Story;Average;Average;1956;1956;HdBoard;HdBoard;GasA;Typical;Y;SBrkr;1014;0;0;1014;0;0;1;0;2;1;Typical;6;0;No_Fireplace;Attchd;1;267;Typical;Typical;Paved;3;2008;98000
Residential_Medium_Density;60;7200;Pave;Regular;AllPub;Corner;Old_Town;Two_Story;Good;Good;1920;1950;Wd Sdng;Wd Sdng;GasA;Excellent;Y;SBrkr;998;764;0;1762;1;0;1;1;4;1;Good;8;0;No_Fireplace;Detchd;2;576;Typical;Typical;Dirt_Gravel;10;2006;157000
Residential_Low_Density;0;8098;Pave;Slightly_Irregular;AllPub;Inside;Timberland;One_Story;Above_Average;Average;2000;2000;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1403;0;0;1403;1;0;2;0;2;1;Good;5;0;No_Fireplace;Attchd;2;470;Typical;Typical;Paved;10;2006;202000
Residential_Low_Density;50;9405;Pave;Regular;AllPub;Inside;Edwards;One_Story;Average;Excellent;1947;2008;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;698;0;0;698;0;1;1;0;2;1;Typical;4;0;No_Fireplace;No_Garage;0;0;No_Garage;No_Garage;Paved;6;2009;118000
Residential_Low_Density;67;9808;Pave;Slightly_Irregular;AllPub;Inside;College_Creek;One_Story;Good;Average;2002;2002;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1573;0;0;1573;1;0;2;0;3;1;Good;6;0;No_Fireplace;Attchd;2;544;Typical;Typical;Paved;3;2009;227000
Residential_Low_Density;60;6000;Pave;Regular;AllPub;Inside;South_and_West_of_Iowa_State_University;One_and_Half_Fin;Average;Average;1926;1950;Wd Sdng;Wd Sdng;GasA;Excellent;Y;SBrkr;1008;0;514;1522;0;0;2;0;4;1;Typical;7;0;No_Fireplace;No_Garage;0;0;No_Garage;No_Garage;Partial_Pavement;6;2006;102000
Residential_Low_Density;80;8000;Pave;Regular;AllPub;Inside;North_Ames;One_Story;Average;Above_Average;1959;1959;BrkFace;Wd Sdng;GasA;Good;Y;FuseA;1256;0;0;1256;1;0;1;1;3;1;Good;6;0;No_Fireplace;Attchd;1;311;Typical;Typical;Paved;5;2008;159000
Residential_Medium_Density;21;1526;Pave;Regular;AllPub;Inside;Meadow_Village;SFoyer;Below_Average;Very_Good;1970;2002;CemntBd;CmentBd;GasA;Typical;Y;SBrkr;630;0;0;630;1;0;1;0;1;1;Good;3;0;No_Fireplace;Attchd;1;286;Typical;Typical;Paved;5;2009;86000
Residential_Low_Density;0;7390;Pave;Slightly_Irregular;AllPub;Inside;North_Ames;One_Story;Average;Good;1955;1955;Wd Sdng;Wd Sdng;GasA;Typical;Y;SBrkr;1098;0;0;1098;1;0;1;0;3;1;Typical;6;0;No_Fireplace;Attchd;1;260;Typical;Typical;Paved;7;2008;135000
Residential_Low_Density;80;9600;Pave;Regular;AllPub;Inside;North_Ames;SLvl;Above_Average;Above_Average;1955;1972;AsbShng;AsbShng;GasA;Excellent;Y;SBrkr;1520;0;0;1520;1;0;1;0;3;1;Typical;7;2;Good;Basment;1;364;Typical;Typical;Paved;3;2010;153000
Residential_Low_Density;0;36500;Pave;Slightly_Irregular;AllPub;Inside;Clear_Creek;One_Story;Average;Average;1964;1964;Wd Sdng;Wd Sdng;GasA;Fair;Y;SBrkr;1582;0;0;1582;0;1;2;0;4;1;Typical;7;0;No_Fireplace;Attchd;2;390;Typical;Typical;Dirt_Gravel;6;2006;190000
Residential_Low_Density;60;7200;Pave;Regular;AllPub;Inside;Old_Town;Two_Story;Above_Average;Very_Good;1915;1950;MetalSd;MetalSd;GasA;Excellent;Y;SBrkr;774;821;0;1595;0;0;2;0;3;1;Typical;7;1;Good;Detchd;2;528;Typical;Typical;Paved;4;2006;155500
Residential_Low_Density;0;11250;Pave;Regular;AllPub;Corner;College_Creek;Two_Story;Good;Average;2001;2001;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;944;926;0;1870;0;0;2;1;3;1;Good;6;0;No_Fireplace;Attchd;2;608;Typical;Typical;Paved;5;2009;211000
Residential_Low_Density;34;5381;Pave;Slightly_Irregular;AllPub;Inside;Northridge_Heights;One_Story;Above_Average;Average;2005;2005;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1306;0;0;1306;1;0;2;0;1;1;Good;5;1;Good;Attchd;2;624;Typical;Typical;Paved;8;2009;196000
Residential_Medium_Density;60;6000;Pave;Regular;AllPub;Inside;Old_Town;Two_and_Half_Unf;Above_Average;Good;1915;2005;Wd Sdng;Wd Sdng;GasA;Good;Y;SBrkr;728;728;0;1456;0;0;1;1;4;1;Good;7;0;No_Fireplace;Detchd;1;308;Fair;Fair;Dirt_Gravel;6;2008;139500
Residential_Low_Density;41;7132;Pave;Slightly_Irregular;AllPub;Inside;Northridge_Heights;One_Story;Very_Good;Average;2006;2006;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1370;0;0;1370;0;0;2;0;2;1;Good;6;1;Good;Attchd;2;484;Typical;Typical;Paved;4;2010;205000
Residential_Low_Density;50;8405;Pave;Regular;AllPub;Inside;Edwards;One_and_Half_Fin;Below_Average;Fair;1945;1950;WdShing;Wd Shng;Wall;Typical;N;FuseF;1088;441;0;1529;0;0;2;0;4;1;Typical;9;0;No_Fireplace;Detchd;1;240;Typical;Typical;Dirt_Gravel;4;2009;98000
Residential_Low_Density;50;7175;Pave;Regular;AllPub;Inside;Sawyer_West;One_Story;Above_Average;Average;1984;1984;Plywood;Plywood;GasA;Typical;Y;SBrkr;752;0;0;752;1;0;1;0;2;1;Typical;4;0;No_Fireplace;Attchd;1;264;Typical;Typical;Paved;2;2010;125000
Residential_Medium_Density;21;1936;Pave;Regular;AllPub;Inside;Meadow_Village;SFoyer;Below_Average;Above_Average;1970;1970;CemntBd;CmentBd;GasA;Good;Y;SBrkr;630;0;0;630;1;0;1;0;1;1;Typical;3;0;No_Fireplace;No_Garage;0;0;No_Garage;No_Garage;Paved;12;2007;84500
Residential_Low_Density;60;11556;Pave;Regular;AllPub;Inside;North_Ames;One_Story;Average;Excellent;1953;2006;VinylSd;MetalSd;GasA;Good;Y;SBrkr;1154;0;0;1154;0;0;1;1;3;1;Excellent;6;0;No_Fireplace;Detchd;1;336;Typical;Typical;Paved;7;2007;142000
Residential_Low_Density;79;11646;Pave;Slightly_Irregular;AllPub;Inside;College_Creek;Two_Story;Above_Average;Average;2005;2006;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;704;718;0;1422;0;0;2;1;3;1;Good;7;1;Good;Attchd;2;440;Typical;Typical;Paved;7;2009;173000
Residential_Low_Density;0;10825;Pave;Slightly_Irregular;AllPub;Inside;Northwest_Ames;One_Story;Good;Good;1983;1983;WdShing;Plywood;GasA;Typical;Y;SBrkr;1260;0;0;1260;1;0;2;0;3;1;Typical;6;0;No_Fireplace;Attchd;2;598;Typical;Typical;Paved;7;2008;181900
Residential_Medium_Density;44;3842;Pave;Slightly_Irregular;AllPub;Inside;Crawford;One_Story;Very_Good;Average;2004;2005;CemntBd;CmentBd;GasA;Excellent;Y;SBrkr;1646;0;0;1646;1;1;2;0;2;1;Good;5;1;Good;Attchd;2;525;Typical;Typical;Paved;12;2006;300000
Residential_Low_Density;65;11479;Pave;Regular;AllPub;Inside;Edwards;One_Story;Above_Average;Good;1950;1987;Wd Sdng;Plywood;GasA;Excellent;Y;SBrkr;1074;0;0;1074;1;0;1;0;3;1;Good;6;1;Typical;Attchd;1;467;Typical;Typical;Paved;6;2010;144500
Residential_Medium_Density;56;8398;Pave;Regular;AllPub;Inside;Old_Town;One_and_Half_Fin;Above_Average;Very_Good;1910;1990;Wd Sdng;Wd Sdng;GasA;Typical;Y;SBrkr;991;659;0;1650;0;0;2;0;3;1;Typical;6;0;No_Fireplace;Detchd;2;468;Typical;Typical;Dirt_Gravel;11;2007;144100
Residential_Low_Density;85;11447;Pave;Slightly_Irregular;AllPub;Inside;Timberland;One_Story;Very_Good;Average;2005;2006;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1964;0;0;1964;1;0;2;1;3;1;Good;7;1;Good;Attchd;3;892;Typical;Typical;Paved;6;2008;370000
Residential_Low_Density;0;10304;Pave;Slightly_Irregular;AllPub;CulDSac;Northwest_Ames;Two_Story;Average;Good;1976;1976;Plywood;Plywood;GasA;Excellent;Y;SBrkr;1088;780;0;1868;1;0;2;1;4;1;Good;9;1;Typical;Attchd;2;484;Typical;Typical;Paved;10;2009;197500
Residential_Low_Density;65;8450;Pave;Regular;AllPub;Inside;Sawyer;One_Story;Average;Very_Good;1965;2009;MetalSd;MetalSd;GasA;Excellent;Y;SBrkr;894;0;0;894;1;0;1;0;3;1;Typical;5;1;Good;Detchd;1;336;Typical;Typical;Paved;4;2010;138500
Residential_Low_Density;70;7931;Pave;Regular;AllPub;Inside;North_Ames;One_Story;Average;Above_Average;1960;1960;BrkFace;Wd Sdng;GasA;Typical;Y;FuseA;1269;0;0;1269;0;0;1;1;3;1;Typical;6;1;Fair;Detchd;1;308;Typical;Typical;Paved;6;2008;155000
Floating_Village_Residential;0;4538;Pave;Slightly_Irregular;AllPub;Inside;Somerset;One_Story;Excellent;Average;2001;2001;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1310;0;0;1310;1;0;1;1;1;1;Good;5;1;Typical;Attchd;2;545;Typical;Typical;Paved;7;2008;285000
Residential_Low_Density;64;6979;Pave;Regular;AllPub;Inside;Old_Town;SFoyer;Above_Average;Average;1980;1980;Plywood;Plywood;GasA;Good;Y;SBrkr;1056;0;0;1056;2;0;0;0;0;2;Typical;4;0;No_Fireplace;Detchd;2;576;Typical;Typical;Paved;6;2010;144000
Residential_Low_Density;60;7200;Pave;Regular;AllPub;Inside;College_Creek;SFoyer;Average;Very_Good;1972;2003;WdShing;HdBoard;GasA;Good;Y;SBrkr;768;0;0;768;0;1;1;0;2;1;Typical;5;0;No_Fireplace;Detchd;1;396;Typical;Typical;Paved;4;2009;133900
Residential_Low_Density;85;10533;Pave;Slightly_Irregular;AllPub;Inside;North_Ames;One_Story;Above_Average;Above_Average;1956;1956;VinylSd;VinylSd;GasA;Typical;Y;SBrkr;1024;0;0;1024;1;0;1;0;2;1;Good;5;2;Typical;Attchd;1;313;Typical;Typical;Paved;8;2006;157500
Residential_Low_Density;82;9452;Pave;Regular;AllPub;Inside;Northridge;Two_Story;Very_Good;Average;1997;1998;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1407;985;0;2392;1;0;2;1;3;1;Good;7;1;Typical;Attchd;3;870;Typical;Typical;Paved;6;2006;348000
Residential_Low_Density;80;10400;Pave;Regular;AllPub;Inside;Northwest_Ames;One_Story;Above_Average;Average;1976;1976;HdBoard;HdBoard;GasA;Typical;Y;SBrkr;1444;0;0;1444;0;0;2;0;2;1;Typical;5;1;Good;Attchd;2;473;Typical;Typical;Paved;4;2008;159900
Residential_Low_Density;24;2364;Pave;Regular;AllPub;Inside;Northpark_Villa;Two_Story;Above_Average;Average;1978;1978;Plywood;Brk Cmn;GasA;Typical;Y;SBrkr;855;601;0;1456;0;0;2;1;3;1;Typical;6;1;Typical;Attchd;2;440;Typical;Typical;Paved;4;2009;138000
Residential_Low_Density;43;10667;Pave;Moderately_Irregular;AllPub;CulDSac;College_Creek;Two_Story;Good;Above_Average;1996;1996;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;827;834;0;1661;1;0;2;1;3;1;Good;6;1;Typical;Attchd;2;550;Typical;Typical;Paved;4;2009;212000
Residential_Low_Density;85;10560;Pave;Regular;AllPub;Corner;Sawyer_West;Two_Story;Good;Average;1993;1994;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1079;800;0;1879;1;0;2;1;3;1;Good;8;1;Typical;Attchd;2;473;Typical;Typical;Paved;8;2009;239900
Residential_Low_Density;52;8741;Pave;Regular;AllPub;Inside;Edwards;One_and_Half_Fin;Above_Average;Below_Average;1945;1950;VinylSd;VinylSd;GasA;Typical;Y;FuseA;798;689;0;1487;0;0;1;1;3;1;Typical;7;1;Good;Detchd;1;220;Typical;Typical;Paved;4;2010;113000
Residential_Low_Density;82;9888;Pave;Regular;AllPub;Inside;North_Ames;One_Story;Average;Above_Average;1954;1975;MetalSd;MetalSd;GasA;Typical;Y;FuseA;936;0;0;936;0;0;1;0;2;1;Typical;5;0;No_Fireplace;Attchd;1;240;Typical;Typical;Paved;3;2006;121000
Residential_Medium_Density;100;12000;Pave;Regular;AllPub;Inside;Old_Town;One_Story;Average;Good;1948;2005;MetalSd;MetalSd;GasA;Excellent;Y;SBrkr;1122;0;0;1122;1;0;1;0;2;1;Good;6;0;No_Fireplace;Attchd;2;528;Typical;Typical;Paved;5;2008;147000
Residential_Low_Density;45;8248;Pave;Regular;AllPub;Inside;Edwards;One_and_Half_Fin;Below_Average;Below_Average;1922;1950;Wd Sdng;Wd Sdng;GasA;Typical;N;SBrkr;964;0;450;1414;0;0;1;0;3;1;Typical;8;1;Good;No_Garage;0;0;No_Garage;No_Garage;Dirt_Gravel;9;2006;83000
Residential_High_Density;60;9000;Pave;Regular;AllPub;Corner;Sawyer_West;One_and_Half_Unf;Above_Average;Fair;1928;1950;Wd Sdng;Wd Sdng;GasA;Typical;N;FuseA;784;0;0;784;0;0;1;0;2;1;Typical;5;0;No_Fireplace;Detchd;2;360;Fair;Fair;Dirt_Gravel;10;2009;76000
Residential_Low_Density;59;9171;Pave;Slightly_Irregular;AllPub;Inside;Gilbert;Two_Story;Good;Average;2004;2005;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;848;750;0;1598;0;0;2;1;3;1;Good;7;1;Good;Attchd;2;433;Typical;Typical;Paved;7;2006;201490
Residential_Low_Density;74;8740;Pave;Slightly_Irregular;AllPub;Inside;Sawyer;SFoyer;Average;Above_Average;1982;1982;HdBoard;HdBoard;GasA;Typical;Y;SBrkr;860;0;0;860;1;0;1;0;2;1;Typical;4;0;No_Fireplace;Detchd;2;528;Typical;Typical;Paved;7;2009;137000
Residential_Low_Density;94;13615;Pave;Slightly_Irregular;AllPub;Corner;Northridge_Heights;One_Story;Excellent;Average;2006;2006;MetalSd;MetalSd;GasA;Excellent;Y;SBrkr;1802;0;0;1802;0;0;2;1;3;1;Excellent;7;1;Good;Attchd;3;843;Typical;Typical;Paved;6;2007;372000
Floating_Village_Residential;75;9512;Pave;Slightly_Irregular;AllPub;Inside;Somerset;Two_Story;Good;Average;2005;2006;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;960;1358;0;2318;1;0;2;1;3;1;Good;8;1;Excellent;BuiltIn;2;541;Typical;Typical;Paved;6;2006;294323
Residential_Low_Density;55;7700;Pave;Regular;AllPub;Inside;North_Ames;SLvl;Average;Good;1956;1956;VinylSd;VinylSd;GasA;Excellent;Y;FuseA;1145;0;0;1145;0;0;1;0;3;1;Typical;6;0;No_Fireplace;Detchd;2;684;Typical;Typical;Paved;9;2006;127000
Floating_Village_Residential;75;9803;Pave;Regular;AllPub;Inside;Somerset;Two_Story;Good;Average;2005;2005;VinylSd;VinylSd;GasA;Good;Y;SBrkr;866;902;0;1768;0;0;2;1;3;1;Good;7;0;No_Fireplace;Attchd;2;603;Typical;Typical;Paved;2;2008;226700
Residential_Low_Density;0;12511;Pave;Slightly_Irregular;AllPub;Corner;Northwest_Ames;Two_Story;Good;Good;1978;1978;Plywood;Plywood;GasA;Excellent;Y;SBrkr;1420;1420;0;2840;0;1;2;1;4;1;Good;8;2;Good;Attchd;4;1314;Typical;Good;Paved;12;2008;292500
Residential_Low_Density;94;13005;Pave;Slightly_Irregular;AllPub;Corner;Northwest_Ames;Two_Story;Good;Good;1980;1980;CemntBd;CmentBd;GasA;Typical;Y;SBrkr;1153;1200;0;2353;1;0;2;1;4;1;Excellent;10;1;Typical;Attchd;2;484;Typical;Typical;Paved;8;2009;260000
Residential_Low_Density;0;6615;Pave;Regular;AllPub;Inside;Brookside;One_Story;Above_Average;Above_Average;1923;1950;MetalSd;MetalSd;GasA;Typical;N;FuseA;1432;0;0;1432;0;0;1;0;3;1;Good;6;1;Good;BuiltIn;1;216;Fair;Typical;Paved;9;2009;149000
Residential_Medium_Density;83;10126;Pave;Regular;AllPub;Corner;College_Creek;SFoyer;Above_Average;Average;1997;1998;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;1838;0;0;1838;2;0;2;0;2;2;Typical;8;0;No_Fireplace;Attchd;3;721;Typical;Typical;Paved;7;2008;185000
Residential_Low_Density;0;8121;Pave;Slightly_Irregular;AllPub;Inside;Gilbert;Two_Story;Above_Average;Average;2000;2000;VinylSd;VinylSd;GasA;Excellent;Y;SBrkr;953;711;0;1664;0;0;2;1;3;1;Typical;7;1;Typical;Attchd;2;460;Typical;Typical;Paved;1;2006;172400
Residential_Medium_Density;24;1488;Pave;Regular;AllPub;Inside;Blueste;Two_Story;Above_Average;Above_Average;1980;1992;MetalSd;MetalSd;GasA;Typical;Y;SBrkr;561;668;0;1229;1;0;1;1;2;1;Good;5;1;Typical;Attchd;2;462;Typical;Typical;Paved;10;2009;137000
Residential_Low_Density;60;8172;Pave;Regular;AllPub;Inside;Edwards;One_Story;Below_Average;Average;1955;1955;MetalSd;MetalSd;GasA;Typical;Y;SBrkr;768;0;0;768;0;0;1;0;2;1;Typical;4;1;Fair;Detchd;1;355;Typical;Typical;Paved;7;2007;125000
